epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,679.903,1.66761,1.99735,1.34836,0.82643,0.6558,0.74347,0.39959,1.40167,1.07452,1.18942,0.00999263,0.00333088,0.00999263,0.00333088,0.00999263,0.00333088,0.00999263,0.00333088
2,1282.97,1.6087,1.37532,1.27903,0.77543,0.65331,0.71398,0.36721,1.5264,1.17885,1.26301,0.0197947,0.00659823,0.0197947,0.00659823,0.0197947,0.00659823,0.0197947,0.00659823
3,1875.73,1.70661,1.52739,1.34566,0.7431,0.61284,0.68432,0.34963,1.58051,1.30995,1.295,0.0293988,0.00979959,0.0293988,0.00979959,0.0293988,0.00979959,0.0293988,0.00979959
4,2460.16,1.72636,1.55152,1.35864,0.77092,0.66624,0.71969,0.36751,1.56318,1.21544,1.29149,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,3042.19,1.61299,1.36211,1.29231,0.81855,0.72405,0.78986,0.43121,1.41005,1.00072,1.20138,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,3624.96,1.5449,1.23291,1.24754,0.8353,0.74762,0.79862,0.45051,1.3445,0.93384,1.16232,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,4200.62,1.48447,1.14627,1.21541,0.86337,0.76827,0.83743,0.47055,1.32973,0.83941,1.15011,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,4765.31,1.43122,1.07025,1.18446,0.86103,0.79268,0.84514,0.48734,1.28488,0.79506,1.11398,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,5329.07,1.38912,1.01042,1.15767,0.86192,0.81012,0.8558,0.50439,1.24739,0.76388,1.09326,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,5893.37,1.35657,0.96248,1.14011,0.88824,0.81416,0.87218,0.52098,1.2077,0.71998,1.08027,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,6458.01,1.32314,0.92482,1.12309,0.88023,0.82878,0.8673,0.52293,1.20611,0.70008,1.07353,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,7022.28,1.29778,0.89107,1.10966,0.88839,0.83439,0.88678,0.52937,1.18631,0.65878,1.06804,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,7587.44,1.27838,0.86885,1.09641,0.88812,0.84838,0.88743,0.53731,1.17836,0.65221,1.06274,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,8151.86,1.25623,0.84338,1.08628,0.90433,0.84968,0.89573,0.54851,1.15647,0.63808,1.06071,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,8717.34,1.23,0.81537,1.07621,0.88657,0.8628,0.89264,0.55722,1.12241,0.60719,1.03739,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,9281.38,1.21157,0.78832,1.06636,0.89099,0.86763,0.89972,0.56616,1.11564,0.59358,1.02844,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,9846.35,1.18985,0.77685,1.05645,0.91176,0.86986,0.90645,0.56946,1.10595,0.58261,1.02247,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,10410.4,1.17884,0.762,1.04908,0.9116,0.8689,0.90464,0.57232,1.08799,0.56432,1.0171,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,10975.2,1.15981,0.74823,1.04077,0.92565,0.88473,0.91258,0.58325,1.06568,0.54916,1.00723,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,11540,1.13827,0.72577,1.0302,0.91872,0.88121,0.91356,0.58316,1.06551,0.54584,1.00857,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,12104.2,1.12776,0.71812,1.02869,0.92156,0.89045,0.91428,0.58686,1.05238,0.53838,1.00113,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,12669.2,1.11595,0.7057,1.02161,0.92583,0.88796,0.91824,0.5963,1.02988,0.5175,0.9922,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,13233.8,1.10774,0.69771,1.01535,0.92679,0.88717,0.91692,0.59868,1.02381,0.51569,0.9891,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,13798.8,1.08713,0.68168,1.00824,0.92656,0.89245,0.92304,0.60681,1.00736,0.50352,0.982,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,14363.2,1.07818,0.67115,1.00292,0.9283,0.88997,0.9232,0.61023,0.99844,0.49619,0.97993,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,14928,1.06708,0.65983,0.99856,0.92287,0.89269,0.92184,0.61521,0.99374,0.50271,0.97415,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,15492.5,1.05342,0.65539,0.9957,0.92225,0.90993,0.92747,0.62038,0.97325,0.48668,0.96591,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,16056.7,1.03449,0.63826,0.98794,0.92238,0.907,0.93049,0.62391,0.96114,0.47946,0.96304,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,16621.4,1.03177,0.63382,0.98634,0.93692,0.8968,0.935,0.62621,0.95611,0.47525,0.96192,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,17185.4,1.02096,0.62368,0.98224,0.92674,0.90441,0.93454,0.63329,0.94737,0.46897,0.96094,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,17750.1,1.00846,0.61975,0.97663,0.92746,0.90854,0.93281,0.63277,0.94609,0.46872,0.95639,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,18314.3,1.00485,0.61527,0.97534,0.93303,0.90629,0.93337,0.63684,0.93568,0.45911,0.95561,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,18879.4,0.9946,0.60679,0.97297,0.93996,0.90729,0.93546,0.64103,0.93342,0.45529,0.95517,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,19444.3,0.98088,0.59705,0.96842,0.92973,0.91061,0.93131,0.64274,0.9242,0.45612,0.95381,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,20008.7,0.96998,0.58956,0.96246,0.93528,0.90807,0.93459,0.64449,0.91435,0.45265,0.94972,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,20573.6,0.96616,0.58517,0.96135,0.93352,0.91064,0.93733,0.64848,0.90708,0.44613,0.94865,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,21138.1,0.95493,0.57739,0.95675,0.9317,0.91077,0.93678,0.65141,0.90398,0.44488,0.94851,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,21703.5,0.95083,0.57343,0.95617,0.93208,0.90997,0.9402,0.6545,0.89758,0.4424,0.94671,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
