epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,914.113,1.90561,2.06681,1.24656,0.55483,0.83934,0.63031,0.33284,1.68413,1.15721,1.16352,0.00999491,0.00333164,0.00999491,0.00333164,0.00999491,0.00333164,0.00999491,0.00333164
2,1811.27,1.68628,1.23707,1.14711,0.48271,0.85696,0.63879,0.32456,1.68505,1.20514,1.19016,0.019599,0.006533,0.019599,0.006533,0.019599,0.006533,0.019599,0.006533
3,2759.87,1.70745,1.2153,1.16387,0.57503,0.73566,0.72025,0.35942,1.76613,1.20049,1.23168,0.0288071,0.00960237,0.0288071,0.00960237,0.0288071,0.00960237,0.0288071,0.00960237
4,3719.32,1.66654,1.14444,1.15798,0.73067,0.62704,0.78771,0.45203,1.60713,1.02115,1.1814,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,4650.75,1.591,1.02409,1.12948,0.79461,0.73141,0.86775,0.4921,1.56504,0.89339,1.15654,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,5594.1,1.53514,0.94588,1.10744,0.80148,0.73274,0.86763,0.49987,1.53906,0.891,1.14805,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,6475.79,1.47202,0.88201,1.08213,0.85753,0.80691,0.91504,0.54131,1.47573,0.78918,1.12197,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,7465.24,1.44532,0.83025,1.07224,0.8865,0.81524,0.92687,0.57246,1.42298,0.72764,1.0966,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,8326.91,1.40412,0.78859,1.05568,0.86815,0.88284,0.94861,0.60027,1.38224,0.67086,1.08299,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,9182.79,1.36545,0.74831,1.04233,0.8846,0.85477,0.94333,0.60718,1.3297,0.66972,1.07,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,10037.6,1.33313,0.71707,1.02883,0.9223,0.88914,0.96319,0.62554,1.28919,0.61432,1.04644,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,10892.6,1.29027,0.67988,1.01642,0.94693,0.90987,0.97414,0.64524,1.25596,0.5567,1.03986,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,11748.7,1.27189,0.6592,1.00695,0.92505,0.91607,0.97367,0.65653,1.22876,0.55746,1.0267,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,12604.6,1.24369,0.6358,0.99718,0.94002,0.91836,0.97874,0.67485,1.17975,0.52641,1.00961,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,13462.8,1.20334,0.61168,0.98476,0.9567,0.93698,0.98345,0.69266,1.13979,0.49827,0.99721,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,14319.7,1.18103,0.59293,0.97628,0.96176,0.94328,0.98575,0.69996,1.11873,0.48137,0.99005,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,15175.4,1.15191,0.5747,0.96876,0.97257,0.95417,0.9889,0.71281,1.09003,0.45218,0.984,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,16031.7,1.12682,0.55922,0.9609,0.97646,0.96242,0.99045,0.72573,1.05049,0.44146,0.96724,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,16887.2,1.10545,0.54497,0.95379,0.97433,0.96333,0.99054,0.73644,1.01567,0.43592,0.95618,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,17743.6,1.07877,0.53177,0.9455,0.97742,0.96699,0.99136,0.74837,0.98334,0.41692,0.94763,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,18599.7,1.05342,0.51879,0.93617,0.97392,0.97336,0.99214,0.75431,0.96262,0.40596,0.94073,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,19456.5,1.02873,0.5041,0.92899,0.9787,0.97418,0.99231,0.76125,0.94398,0.39521,0.9337,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
